,508,509,512,513,516,517,520,521
WNT2,4.694553688,1.332858023,5.983720365,2.898648356,2.110578379,-0.165525202,4.282851302,1.237000029
DNM1,6.180735262,4.441965144,5.66002402,3.98151281,5.800292287,3.960375508,6.285300336,4.488955373
ZBTB16,-1.863522518,5.257966963,-1.777151919,4.902222888,-2.931972217,4.283086624,-0.515040727,5.779173004
DUSP1,4.93655107,8.019074299,5.60756813,8.302195578,5.028341707,7.722989765,5.143245863,8.396709344
HIF3A,1.013991258,3.374456731,1.575250311,4.154740192,0.492887785,2.833587931,2.250124423,4.790580928
MT2A,6.24851399,8.276987586,5.782855353,8.070845822,5.758389679,8.201585506,5.916362825,7.933491758
FGD4,4.132413319,6.239577516,4.216220188,6.502057562,4.312710099,6.303821564,4.589818509,7.039081717
PRSS35,3.930015595,1.14344086,5.189072694,2.649825824,4.848306646,2.068141896,4.482622152,1.607251411
ADAM12,6.677858311,4.822507842,6.98451045,4.964557448,6.860312509,5.108964569,5.817328749,4.143777531
SPARCL1,1.554709703,6.720696442,2.022595556,6.349355211,2.028340011,6.005862645,2.034884981,6.719832762
ACSS1,3.714837266,5.565503142,3.869376767,5.799204338,2.916301769,4.88790377,4.233137472,5.995108285
TIMP4,0.598793674,3.768202771,0.580523267,3.375168137,1.527517004,4.253119561,0.819552014,3.6386792
STEAP2,5.909273033,7.723250417,6.046367687,8.154854262,5.343807599,7.269387952,5.940392334,7.930290522
PDPN,5.357532499,7.206776294,4.355627191,6.283956255,3.121954092,5.025742174,4.189691087,5.992878205
NEXN,6.386335439,8.60998436,6.794753364,8.834730682,6.473599519,8.424661132,6.853340558,8.718896757
DNAJB4,5.032768429,6.508719728,5.284236143,6.874350159,5.241058877,6.700203348,5.060149909,6.541358055
VCAM1,5.394220516,1.719779488,5.582420331,1.968347776,5.762635133,2.534650166,5.038049276,0.694381108
CACNB2,1.912334172,5.242301615,2.582303984,5.836526152,1.487037857,4.58122522,2.310372698,5.604687369
FAM107A,-0.639114867,3.832389087,0.580523267,4.974158133,-2.931972217,1.175709948,-1.765981302,3.262762172
MAOA,4.346154994,7.581818598,4.533611977,7.751647403,4.707861062,7.734784091,3.536576632,7.423833457
